section_code,section_name,principle_number,sub_section,question_number,question_text,question_type,placeholder_text,options
section_a,General Disclosures,,,1,Corporate Identity Number (CIN) of the Listed Entity,text,Enter the 21-character alphanumeric CIN issued by the Ministry of Corporate Affairs (MCA). Ensure it matches the certificate of incorporation.,
section_a,General Disclosures,,,2,Name of the Listed Entity,text,Provide the legal name of the listed entity as per the certificate of incorporation and stock exchange listings.,
section_a,General Disclosures,,,3,Year of incorporation,number,Enter the calendar year (YYYY) in which the entity was incorporated. This should match the incorporation certificate.,
section_a,General Disclosures,,,4,Registered office address,textarea,"Provide the complete registered office address as per MCA records. Include street, city, state, and PIN code.",
section_a,General Disclosures,,,5,Corporate address,textarea,Provide the main corporate/business address if different from registered office. Include all relevant details for correspondence.,
section_a,General Disclosures,,,6,E-mail,email,Enter the official email address for BRSR-related correspondence. Use a generic email like sustainability@company.com rather than personal emails.,
section_a,General Disclosures,,,7,Telephone,text,Provide the official contact telephone number with STD/ISD codes. Include both landline and mobile if available.,
section_a,General Disclosures,,,8,Website,url,"Enter the complete website URL of the listed entity (e.g., https://www.company.com). Ensure the link is active.",
section_a,General Disclosures,,,9,Financial year for which reporting is being done,text,Specify the financial year in format FY 2025-26 or April 2025 - March 2026. Should align with statutory financial reporting period.,
section_a,General Disclosures,,,10,Name of the Stock Exchange(s) where shares are listed,text,"List all stock exchanges where the entity's shares are listed (e.g., BSE, NSE, NYSE). Separate multiple entries with commas.",
section_a,General Disclosures,,,11,Paid-up Capital,number,Enter the paid-up share capital in Indian Rupees (Rs.) as per the latest audited balance sheet. Do not include share premium.,
section_a,General Disclosures,,,12,"Name and contact details (telephone, email) of the person who may be contacted for BRSR queries",textarea,"Provide full name, designation, telephone number, and email ID of the key contact person responsible for BRSR reporting and queries.",
section_a,General Disclosures,,,13,Reporting boundary: standalone or consolidated basis,radio,"Select 'Standalone' if reporting only the listed entity, or 'Consolidated' if reporting includes all subsidiaries. Choose based on your reporting practice.","Standalone|Consolidated"
section_a,General Disclosures,,,14,Name of assurance provider,text,"Enter the name of the external assurance provider (if any). If not assured, enter 'Not assured' or 'Nil'.",
section_a,General Disclosures,,,15,Type of assurance obtained,text,"Specify the type of assurance (e.g., Limited Assurance, Reasonable Assurance, GRI certified, or None). Mention the standard used if applicable.",
section_a,General Disclosures,,,16,Details of business activities (accounting for 90% of the turnover),table,Provide details of business activities/segments that collectively account for 90% or more of the total turnover. Include NIC codes if available.,
section_a,General Disclosures,,,17,Products/Services sold by the entity (accounting for 90% of turnover),table,"List the main products/services that contribute to 90% of the turnover. Include categories, descriptions, and percentage contribution.",
section_a,General Disclosures,,,18,Number of locations where plants and/or operations/offices of the entity are situated,table,"Provide the count of locations (plants, offices, operations) by state/UT within India and by country for international locations.",
section_a,General Disclosures,,,19a,Markets served by the entity: number of locations (national/international),table,Specify the number of locations/markets served nationally (state-wise) and internationally (country-wise).,
section_a,General Disclosures,,,19b,Contribution of exports as a percentage of total turnover,number,Enter the percentage of total turnover contributed by exports. Calculate as (Export Revenue / Total Turnover) × 100.,
section_a,General Disclosures,,,19c,Brief on types of customers,textarea,"Provide a brief description of the customer base (e.g., B2B, B2C, Government, Retailers, Wholesalers). Mention key customer segments.",
section_a,General Disclosures,,,20a,Employees and workers (including differently abled) as at end of financial year,table,"Provide headcount of permanent employees, permanent workers, temporary/contractual employees and workers by gender at the end of the financial year.",
section_a,General Disclosures,,,20b,Differently abled employees and workers as at end of financial year,table,"Provide headcount of differently abled/disabled employees and workers by category (physical, intellectual, visual, hearing, etc.) and gender.",
section_a,General Disclosures,,,21,"Participation/Inclusion/Representation of women (Board of Directors, KMP)",table,"Provide numbers of women on Board of Directors, in Key Managerial Personnel (KMP) positions, and other senior management roles.",
section_a,General Disclosures,,,22,Turnover rate for permanent employees and workers,table,"Provide the turnover/attrition rate for permanent employees and workers, segregated by gender and category. Calculate as (separations/average headcount) × 100.",
section_a,General Disclosures,,,23,Names of holding/subsidiary/associate companies/joint ventures,table,"List the names of all holding companies, subsidiaries, associate companies, and joint ventures with their relationship to the listed entity.",
